home,away,home_score,away_score,postseason,date
Birmingham-Southern,Oglethorpe,3,0,False,2015-10-24
Millsaps,Berry,0,3,False,2015-10-24
Hendrix,Centre,1,3,False,2015-10-25
Birmingham-Southern,Berry,2,3,False,2015-10-25
Millsaps,Oglethorpe,3,0,False,2015-10-25
Rhodes,Sewanee,3,1,False,2015-10-25
Oglethorpe,Hendrix,0,3,True,2015-11-6
Centre,Millsaps,1,3,True,2015-11-6
Millsaps,Hendrix,0,3,True,2015-11-7
Hendrix,Berry,3,2,True,2015-11-13
Centre,Sewanee,3,2,False,2016-9-13
Berry,Oglethorpe,3,0,False,2016-9-14
Rhodes,Hendrix,0,3,False,2016-9-14
Berry,Hendrix,1,3,False,2016-9-16
Birmingham-Southern,Sewanee,3,0,False,2016-9-17
Millsaps,Centre,1,3,False,2016-9-17
Oglethorpe,Hendrix,0,3,False,2016-9-17
Berry,Rhodes,3,0,False,2016-9-17
Birmingham-Southern,Centre,3,0,False,2016-9-18
Oglethorpe,Rhodes,2,3,False,2016-9-18
Millsaps,Sewanee,1,3,False,2016-9-18
Birmingham-Southern,Millsaps,3,0,False,2016-9-21
Sewanee,Berry,0,3,False,2016-9-24
Hendrix,Birmingham-Southern,3,0,False,2016-9-24
Rhodes,Millsaps,3,0,False,2016-9-24
Centre,Oglethorpe,3,2,False,2016-9-24
Centre,Berry,0,3,False,2016-9-25
Sewanee,Oglethorpe,0,3,False,2016-9-25
Hendrix,Millsaps,3,0,False,2016-9-25
Rhodes,Birmingham-Southern,0,3,False,2016-9-25
Berry,Millsaps,3,0,False,2016-9-30
Rhodes,Sewanee,1,3,False,2016-10-1
Hendrix,Centre,3,0,False,2016-10-1
Oglethorpe,Millsaps,0,3,False,2016-10-1
Berry,Birmingham-Southern,1,3,False,2016-10-1
Rhodes,Centre,2,3,False,2016-10-2
Hendrix,Sewanee,3,0,False,2016-10-2
Oglethorpe,Birmingham-Southern,0,3,False,2016-10-2
Oglethorpe,Berry,0,3,False,2016-10-5
Hendrix,Rhodes,1,3,False,2016-10-5
Millsaps,Rhodes,1,3,False,2016-10-7
Berry,Sewanee,3,0,False,2016-10-7
Birmingham-Southern,Rhodes,3,0,False,2016-10-8
Millsaps,Hendrix,1,3,False,2016-10-8
Berry,Centre,1,3,False,2016-10-8
Oglethorpe,Sewanee,3,2,False,2016-10-8
Oglethorpe,Centre,2,3,False,2016-10-9
Birmingham-Southern,Hendrix,0,3,False,2016-10-9
Sewanee,Centre,1,3,False,2016-10-11
Hendrix,Oglethorpe,3,0,False,2016-10-14
Hendrix,Berry,3,0,False,2016-10-15
Centre,Millsaps,0,3,False,2016-10-15
Rhodes,Oglethorpe,3,0,False,2016-10-15
Sewanee,Birmingham-Southern,0,3,False,2016-10-15
Sewanee,Millsaps,0,3,False,2016-10-16
Centre,Birmingham-Southern,0,3,False,2016-10-16
Rhodes,Berry,0,3,False,2016-10-16
Millsaps,Birmingham-Southern,1,3,False,2016-10-19
Birmingham-Southern,Oglethorpe,3,0,False,2016-10-22
Centre,Hendrix,0,3,False,2016-10-22
Sewanee,Rhodes,1,3,False,2016-10-22
Millsaps,Berry,0,3,False,2016-10-22
Centre,Rhodes,0,3,False,2016-10-23
Millsaps,Oglethorpe,2,3,False,2016-10-23
Sewanee,Hendrix,0,3,False,2016-10-23
Birmingham-Southern,Berry,1,3,False,2016-10-23
Centre,Rhodes,3,1,True,2016-11-4
Oglethorpe,Birmingham-Southern,0,3,True,2016-11-4
Millsaps,Berry,1,3,True,2016-11-4
Centre,Hendrix,0,3,True,2016-11-5
Berry,Birmingham-Southern,3,1,True,2016-11-5
Birmingham-Southern,Millsaps,3,0,False,2017-9-12
Oglethorpe,Berry,0,3,False,2017-9-13
Hendrix,Rhodes,3,0,False,2017-9-13
Berry,Birmingham-Southern,3,1,False,2017-9-15
Centre,Hendrix,2,3,False,2017-9-16
Sewanee,Rhodes,1,3,False,2017-9-16
Oglethorpe,Birmingham-Southern,0,3,False,2017-9-16
Berry,Millsaps,3,0,False,2017-9-16
Oglethorpe,Millsaps,0,3,False,2017-9-17
Centre,Rhodes,2,3,False,2017-9-17
Sewanee,Hendrix,3,0,False,2017-9-17
Millsaps,Centre,1,3,False,2017-9-23
Rhodes,Oglethorpe,3,0,False,2017-9-23
Hendrix,Berry,0,3,False,2017-9-23
Birmingham-Southern,Sewanee,3,0,False,2017-9-23
Hendrix,Oglethorpe,3,1,False,2017-9-24
Millsaps,Sewanee,3,2,False,2017-9-24
Birmingham-Southern,Centre,3,2,False,2017-9-24
Rhodes,Berry,0,3,False,2017-9-24
Sewanee,Centre,2,3,False,2017-9-26
Berry,Oglethorpe,3,0,False,2017-9-27
Berry,Sewanee,3,0,False,2017-9-30
Oglethorpe,Centre,0,3,False,2017-9-30
Birmingham-Southern,Hendrix,3,2,False,2017-9-30
Millsaps,Rhodes,2,3,False,2017-9-30
